Watching for file changes with StatReloader
Forbidden (CSRF token missing.): /admin/login/
"POST /admin/login/?next=/admin/users/user/ HTTP/1.1" 403 2505
    return self._execute_with_wrappers(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\backends\utils.py", line 92, in _execute_with_wrappers
    return executor(sql, params, many, context)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\backends\utils.py", line 100, in _execute
    with self.db.wrap_database_errors:
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\utils.py", line 91, in __exit__
    raise dj_exc_value.with_traceback(traceback) from exc_value
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\backends\utils.py", line 105, in _execute
    return self.cursor.execute(sql, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
django.db.utils.IntegrityError: duplicate key value violates unique constraint "cart_items_cart_id_product_id_size_color_6119cf01_uniq"
DETAIL:  Key (cart_id, product_id, size, color)=(4, 2, Per Yard, Cream) already exists.

"POST /api/v1/orders/cart/add/ HTTP/1.1" 500 198233
"OPTIONS /api/v1/orders/cart/items/3/remove/ HTTP/1.1" 200 0
"DELETE /api/v1/orders/cart/items/3/remove/ HTTP/1.1" 204 0
"GET /api/v1/orders/cart/ HTTP/1.1" 200 161
"GET /api/v1/products/ HTTP/1.1" 200 8404
"GET /api/v1/auth/stores/ HTTP/1.1" 200 3220
"GET /api/v1/products/ HTTP/1.1" 200 8404
"GET /api/v1/auth/stores/ HTTP/1.1" 200 3220
"GET /api/v1/auth/shipping-info/ HTTP/1.1" 200 75
"GET /api/v1/orders/cart/ HTTP/1.1" 200 161
"GET /api/v1/auth/status/ HTTP/1.1" 200 541
"GET /api/v1/auth/shipping-info/ HTTP/1.1" 200 75
"GET /api/v1/orders/cart/ HTTP/1.1" 200 161
"GET /api/v1/auth/status/ HTTP/1.1" 200 541
"GET /api/v1/orders/cart/ HTTP/1.1" 200 161
"GET /api/v1/orders/cart/ HTTP/1.1" 200 161
"GET /api/v1/products/ HTTP/1.1" 200 8404
- Broken pipe from ('127.0.0.1', 50431)
- Broken pipe from ('127.0.0.1', 50300)
- Broken pipe from ('127.0.0.1', 50430)
"GET /api/v1/orders/cart/ HTTP/1.1" 200 161
"GET /api/v1/auth/status/ HTTP/1.1" 200 541
"GET /api/v1/orders/cart/ HTTP/1.1" 200 161
"GET /api/v1/auth/status/ HTTP/1.1" 200 541
"GET /api/v1/products/ HTTP/1.1" 200 8404
"GET /api/v1/auth/stores/ HTTP/1.1" 200 3220
"GET /api/v1/products/ HTTP/1.1" 200 8404
"GET /api/v1/auth/stores/ HTTP/1.1" 200 3220
"GET /api/v1/products/6/ HTTP/1.1" 200 1727
"GET /api/v1/products/6/ HTTP/1.1" 200 1727
"GET /api/v1/products/?business_type=General+Clothing HTTP/1.1" 200 3681
"OPTIONS /api/v1/products/3/ HTTP/1.1" 200 0
"OPTIONS /api/v1/products/3/ HTTP/1.1" 200 0
"GET /api/v1/products/3/ HTTP/1.1" 200 1762
"GET /api/v1/products/3/ HTTP/1.1" 200 1762
"POST /api/v1/orders/cart/add/ HTTP/1.1" 201 357
"GET /api/v1/orders/cart/ HTTP/1.1" 200 521
"GET /api/v1/auth/shipping-info/ HTTP/1.1" 200 75
